bird,freq
anous_ceruleus,2
anous_minutus,26
anous_stolidus,31
anous_tenuirostris,13
anser_albifrons,437
anser_anser,759
anser_brachyrhynchus,352
anser_caerulescens,121
anser_canagicus,7
anser_cygnoides,34
anser_erythropus,32
anser_fabalis,101
anser_indicus,46
anser_rossii,33
anser_serrirostris,99
anseranas_semipalmata,21
anthipes_monileger,50
anthipes_solitaris,57
anthobaphes_violacea,18
anthocephala_berlepschi,7
anthocephala_floriceps,7
anthochaera_carunculata,40
anthochaera_chrysoptera,39
anthochaera_lunulata,13
anthochaera_paradoxa,20
anthochaera_phrygia,20
anthornis_melanura,50
anthoscopus_caroli,14
anthoscopus_flavifrons,3
anthoscopus_minutus,40
anthoscopus_musculus,18
anthoscopus_parvulus,3
anthoscopus_punctifrons,2
anthracoceros_albirostris,87
anthracoceros_coronatus,18
anthracoceros_malayanus,43
anthracoceros_marchei,2
anthracoceros_montani,2
anthracothorax_dominicus,6
anthracothorax_mango,1
anthracothorax_nigricollis,28
anthracothorax_prevostii,12
anthracothorax_veraguensis,7
anthracothorax_viridigula,6
anthracothorax_viridis,1
anthreptes_anchietae,9
anthreptes_gabonicus,8
anthreptes_griseigularis,2
anthreptes_longuemarei,7
anthreptes_malacensis,99
anthreptes_neglectus,1
anthreptes_orientalis,21
anthreptes_rectirostris,10
anthreptes_reichenowi,13
anthreptes_rhodolaemus,11
anthreptes_rubritorques,7
anthreptes_seimundi,4
anthreptes_simplex,14
anthus_antarcticus,14
anthus_australis,12
anthus_berthelotii,50
anthus_bogotensis,24
anthus_brachyurus,4
anthus_brevirostris,25
anthus_caffer,4
anthus_campestris,392
anthus_cervinus,347
anthus_chacoensis,7
anthus_chloris,13
anthus_cinnamomeus,93
anthus_correndera,98
anthus_crenatus,131
anthus_furcatus,12
anthus_godlewskii,113
anthus_gustavi,24
anthus_gutturalis,5
anthus_hellmayri,95
anthus_hodgsoni,650
anthus_hoeschi,6
anthus_leucophrys,30
anthus_lineiventris,25
anthus_lutescens,82
anthus_melindae,7
anthus_nattereri,51
anthus_nilghiriensis,5
anthus_novaeseelandiae,13
anthus_nyassae,11
anthus_pallidiventris,3
anthus_peruvianus,11
anthus_petrosus,258
anthus_pratensis,909
anthus_richardi,362
anthus_roseatus,33
anthus_rubescens,156
anthus_rufulus,84
anthus_similis,78
anthus_sokokensis,12
anthus_spinoletta,494
anthus_spragueii,37
anthus_sylvanus,18
anthus_trivialis,1503
anthus_vaalensis,6
antigone_antigone,33
antigone_canadensis,211
antigone_rubicunda,20
antigone_vipio,28
antilophia_bokermanni,57
antilophia_galeata,94
antrostomus_arizonae,117
antrostomus_badius,5
antrostomus_carolinensis,101
antrostomus_cubanensis,1
antrostomus_ekmani,6
antrostomus_noctitherus,10
antrostomus_ridgwayi,66
antrostomus_rufus,100
antrostomus_salvini,8
antrostomus_saturatus,24
antrostomus_sericocaudatus,53
antrostomus_vociferus,86
anumara_forbesi,17
anumbius_annumbi,66
anurolimnas_castaneiceps,66
anurophasis_monorthonyx,3
apalharpactes_mackloti,7
apalharpactes_reinwardtii,11
apalis_alticola,24
apalis_argentea,1
apalis_chapini,80
apalis_chariessa,14
apalis_chirindensis,3
apalis_cinerea,50
apalis_flavida,129
apalis_flavigularis,5
apalis_fuscigularis,2
apalis_goslingi,2
apalis_jacksoni,10
apalis_karamojae,2
apalis_lynesi,1
apalis_melanocephala,52
apalis_nigriceps,12
apalis_personata,25
apalis_porphyrolaema,31
apalis_ruddi,11
apalis_rufogularis,37
apalis_sharpii,18
apalis_thoracica,147
apaloderma_aequatoriale,8
apaloderma_narina,71
apaloderma_vittatum,66
apalopteron_familiare,2
aphanotriccus_audax,16
aphanotriccus_capitalis,12
aphantochroa_cirrochloris,47
aphelocephala_leucopsis,18
aphelocephala_nigricincta,4
aphelocephala_pectoralis,3
aphelocoma_californica,122
aphelocoma_coerulescens,27
aphelocoma_insularis,13
aphelocoma_ultramarina,19
aphelocoma_unicolor,37
aphelocoma_wollweberi,102
aphelocoma_woodhouseii,128
aphrastura_spinicauda,90
aphrodroma_brevirostris,7
aplonis_atrifusca,15
aplonis_brunneicapillus,2
aplonis_cantoroides,10
aplonis_cinerascens,2
aplonis_crassa,4
aplonis_dichroa,3
aplonis_feadensis,1
aplonis_grandis,16
aplonis_insularis,1
aplonis_magna,14
aplonis_metallica,60
aplonis_minor,14
aplonis_mysolensis,13
aplonis_opaca,21
aplonis_panayensis,52
aplonis_striata,8
aplonis_tabuensis,17
aplonis_zelandica,2
aprositornis_disjuncta,16
aprosmictus_erythropterus,28
aptenodytes_forsteri,4
aptenodytes_patagonicus,37
apteryx_australis,3
apteryx_haastii,7
apteryx_mantelli,19
apteryx_owenii,6
apteryx_rowi,5
apus_acuticauda,1
apus_affinis,102
apus_apus,541
apus_balstoni,8
apus_barbatus,10
apus_batesi,2
apus_berliozi,4
apus_bradfieldi,5
apus_caffer,77
apus_cooki,4
apus_horus,4
apus_leuconyx,1
apus_niansae,1
apus_nipalensis,48
apus_pacificus,37
apus_pallidus,194
apus_salimalii,3
apus_unicolor,21
aquila_adalberti,43
aquila_africana,1
aquila_audax,3
aquila_chrysaetos,78
aquila_fasciata,12
aquila_gurneyi,1
aquila_heliaca,12
aquila_nipalensis,8
aquila_rapax,1
aquila_spilogaster,3
aquila_verreauxii,5
ara_ararauna,137
ara_chloropterus,96
ara_macao,110
ara_militaris,143
ara_severus,135
arachnothera_affinis,11
arachnothera_chrysogenys,7
arachnothera_clarae,3
arachnothera_crassirostris,5
arachnothera_dilutior,4
arachnothera_everetti,16
arachnothera_flammifera,3
arachnothera_flavigaster,18
arachnothera_juliae,8
arachnothera_longirostra,163
arachnothera_magna,64
arachnothera_modesta,11
arachnothera_robusta,10
aramides_albiventris,16
aramides_axillaris,16
aramides_cajaneus,234
aramides_calopterus,3
aramides_mangle,11
aramides_saracura,108
aramides_wolfi,15
aramides_ypecaha,63
aramus_guarauna,184
aratinga_auricapillus,41
aratinga_jandaya,31
aratinga_maculata,8
aratinga_nenday,27
aratinga_weddellii,60
arborophila_ardens,20
arborophila_atrogularis,16
arborophila_brunneopectus,12
arborophila_campbelli,22
arborophila_chloropus,45
arborophila_crudigularis,13
arborophila_davidi,11
arborophila_diversa,3
arborophila_gingica,8
arborophila_hyperythra,30
arborophila_javanica,27
arborophila_mandellii,15
arborophila_rufipectus,4
arborophila_rufogularis,46
arborophila_torqueola,56
arcanator_orostruthus,52
archboldia_papuensis,11
archilochus_alexandri,88
archilochus_colubris,48
ardea_alba,309
ardea_cinerea,1108
ardea_cocoi,57
ardea_goliath,1
ardea_herodias,118
ardea_intermedia,13
ardea_melanocephala,21
ardea_pacifica,5
ardea_purpurea,190
ardea_sumatrana,17
ardenna_carneipes,9
ardenna_creatopus,21
ardenna_gravis,2
ardenna_grisea,13
ardenna_pacifica,28
ardenna_tenuirostris,3
ardeola_bacchus,20
ardeola_grayii,18
ardeola_ralloides,58
ardeola_speciosa,2
ardeotis_arabs,1
ardeotis_australis,1
ardeotis_kori,4
arenaria_interpres,317
arenaria_melanocephala,40
argya_affinis,44
argya_altirostris,7
